id,title,rating,runtime,url,parent_guide_id
120,Like Stars on Earth,8.3,162,https://imdb.com/title/tt0986264,4
121,Snatch,8.2,102,https://imdb.com/title/tt0208092,7
122,Hamilton,8.3,160,https://imdb.com/title/tt8503618,5
123,L.A. Confidential,8.2,138,https://imdb.com/title/tt0119488,7
124,1917,8.2,119,https://imdb.com/title/tt8579674,7
125,Bicycle Thieves,8.3,89,https://imdb.com/title/tt0040522,8
126,Taxi Driver,8.2,114,https://imdb.com/title/tt0075314,7
127,Downfall,8.2,156,https://imdb.com/title/tt0363163,7
128,Dangal,8.3,161,https://imdb.com/title/tt5074352,8
129,For a Few Dollars More,8.2,132,https://imdb.com/title/tt0059578,7
130,Batman Begins,8.2,140,https://imdb.com/title/tt0372784,5
131,The Wolf of Wall Street,8.2,180,https://imdb.com/title/tt0993846,7
132,Some Like It Hot,8.2,121,https://imdb.com/title/tt0053291,1
133,Green Book,8.2,130,https://imdb.com/title/tt6966692,5
134,The Kid,8.2,68,https://imdb.com/title/tt0012349,6
135,The Father,8.2,97,https://imdb.com/title/tt10272386,5
136,Judgment at Nuremberg,8.3,179,https://imdb.com/title/tt0055031,1
137,The Truman Show,8.2,103,https://imdb.com/title/tt0120382,4
138,All About Eve,8.2,138,https://imdb.com/title/tt0042192,1
139,Top Gun: Maverick,8.2,130,https://imdb.com/title/tt1745960,5
140,Shutter Island,8.2,138,https://imdb.com/title/tt1130884,7
141,There Will Be Blood,8.2,158,https://imdb.com/title/tt0469494,7
142,Casino,8.2,178,https://imdb.com/title/tt0112641,7
143,Jurassic Park,8.2,127,https://imdb.com/title/tt0107290,5
144,Ran,8.2,160,https://imdb.com/title/tt0089881,7
145,The Sixth Sense,8.2,107,https://imdb.com/title/tt0167404,5
146,Pan's Labyrinth,8.2,118,https://imdb.com/title/tt0457430,7
147,Unforgiven,8.2,130,https://imdb.com/title/tt0105695,7
148,No Country for Old Men,8.2,122,https://imdb.com/title/tt0477348,7
149,A Beautiful Mind,8.2,135,https://imdb.com/title/tt0268978,5
150,The Thing,8.2,109,https://imdb.com/title/tt0084787,7
151,Kill Bill: Vol. 1,8.2,111,https://imdb.com/title/tt0266697,7
152,The Treasure of the Sierra Madre,8.2,126,https://imdb.com/title/tt0040897,1
153,Yojimbo,8.2,110,https://imdb.com/title/tt0055630,8
154,Monty Python and the Holy Grail,8.2,91,https://imdb.com/title/tt0071853,4
155,The Great Escape,8.2,172,https://imdb.com/title/tt0057115,1
156,Finding Nemo,8.2,100,https://imdb.com/title/tt0266543,2
157,Prisoners,8.2,153,https://imdb.com/title/tt1392214,7
158,Rashomon,8.2,88,https://imdb.com/title/tt0042876,8
159,Howl's Moving Castle,8.2,119,https://imdb.com/title/tt0347149,4
160,The Elephant Man,8.2,124,https://imdb.com/title/tt0080678,4
161,Chinatown,8.1,130,https://imdb.com/title/tt0071315,7
162,Dial M for Murder,8.2,105,https://imdb.com/title/tt0046912,4
163,Gone with the Wind,8.2,238,https://imdb.com/title/tt0031381,2
164,V for Vendetta,8.2,132,https://imdb.com/title/tt0434409,7
165,"Lock, Stock and Two Smoking Barrels",8.1,107,https://imdb.com/title/tt0120735,7
166,The Secret in Their Eyes,8.2,129,https://imdb.com/title/tt1305806,7
167,Inside Out,8.1,95,https://imdb.com/title/tt2096673,4
168,Raging Bull,8.1,129,https://imdb.com/title/tt0081398,7
169,"Three Billboards Outside Ebbing, Missouri",8.1,115,https://imdb.com/title/tt5027774,7
170,Trainspotting,8.1,93,https://imdb.com/title/tt0117951,7
171,The Bridge on the River Kwai,8.1,161,https://imdb.com/title/tt0050212,4
172,Klaus,8.2,96,https://imdb.com/title/tt4729430,4
173,Fargo,8.1,98,https://imdb.com/title/tt0116282,7
174,Spider-Man: No Way Home,8.2,148,https://imdb.com/title/tt10872600,5
175,Catch Me If You Can,8.1,141,https://imdb.com/title/tt0264464,5
176,Warrior,8.1,140,https://imdb.com/title/tt1291584,5
177,Gran Torino,8.1,116,https://imdb.com/title/tt1205489,7
178,My Neighbor Totoro,8.1,86,https://imdb.com/title/tt0096283,2
179,Million Dollar Baby,8.1,132,https://imdb.com/title/tt0405159,5
180,Harry Potter and the Deathly Hallows: Part 2,8.1,130,https://imdb.com/title/tt1201607,5
181,Children of Heaven,8.2,89,https://imdb.com/title/tt0118849,4
182,12 Years a Slave,8.1,134,https://imdb.com/title/tt2024544,7
183,Blade Runner,8.1,117,https://imdb.com/title/tt0083658,7
184,Before Sunrise,8.1,101,https://imdb.com/title/tt0112471,7
185,Ben-Hur,8.1,212,https://imdb.com/title/tt0052618,2
186,Barry Lyndon,8.1,185,https://imdb.com/title/tt0072684,4
187,The Grand Budapest Hotel,8.1,99,https://imdb.com/title/tt2278388,7
188,Gone Girl,8.1,149,https://imdb.com/title/tt2267998,7
189,Hacksaw Ridge,8.1,139,https://imdb.com/title/tt2119532,7
190,The Gold Rush,8.1,95,https://imdb.com/title/tt0015864,1
191,Memories of Murder,8.1,132,https://imdb.com/title/tt0353969,8
192,In the Name of the Father,8.1,133,https://imdb.com/title/tt0107207,7
193,Dead Poets Society,8.1,128,https://imdb.com/title/tt0097165,4
194,Mad Max: Fury Road,8.1,120,https://imdb.com/title/tt1392190,7
195,Wild Tales,8.1,122,https://imdb.com/title/tt3011894,7
196,The General,8.1,78,https://imdb.com/title/tt0017925,6
197,The Deer Hunter,8.1,183,https://imdb.com/title/tt0077416,7
198,On the Waterfront,8.1,108,https://imdb.com/title/tt0047296,1
199,"Monsters, Inc.",8.1,92,https://imdb.com/title/tt0198781,2
200,Sherlock Jr.,8.2,45,https://imdb.com/title/tt0015324,6
201,Jaws,8.1,124,https://imdb.com/title/tt0073195,4
202,How to Train Your Dragon,8.1,98,https://imdb.com/title/tt0892769,4
203,The Third Man,8.1,93,https://imdb.com/title/tt0041959,1
204,The Wages of Fear,8.2,131,https://imdb.com/title/tt0046268,8
205,Mary and Max,8.1,92,https://imdb.com/title/tt0978762,8
206,Wild Strawberries,8.1,91,https://imdb.com/title/tt0050986,8
207,Mr. Smith Goes to Washington,8.1,129,https://imdb.com/title/tt0031679,1
208,Ratatouille,8.1,111,https://imdb.com/title/tt0382932,2
209,Ford v Ferrari,8.1,152,https://imdb.com/title/tt1950186,5
210,Tokyo Story,8.1,136,https://imdb.com/title/tt0046438,8
211,The Big Lebowski,8.1,117,https://imdb.com/title/tt0118715,7
212,Room,8.1,118,https://imdb.com/title/tt3170832,7
213,The Seventh Seal,8.1,96,https://imdb.com/title/tt0050976,8
214,Rocky,8.1,120,https://imdb.com/title/tt0075148,4
215,Logan,8.1,137,https://imdb.com/title/tt3315342,7
216,Spotlight,8.1,129,https://imdb.com/title/tt1895587,7
217,Hotel Rwanda,8.1,121,https://imdb.com/title/tt0395169,5
218,The Terminator,8.1,107,https://imdb.com/title/tt0088247,7
219,Platoon,8.1,120,https://imdb.com/title/tt0091763,7
220,The Passion of Joan of Arc,8.1,114,https://imdb.com/title/tt0019254,6
221,La haine,8.1,98,https://imdb.com/title/tt0113247,8
222,Before Sunset,8.1,80,https://imdb.com/title/tt0381681,7
223,The Best Years of Our Lives,8.1,170,https://imdb.com/title/tt0036868,1
224,Pirates of the Caribbean: The Curse of the Black Pearl,8.1,143,https://imdb.com/title/tt0325980,5
225,The Exorcist,8.1,122,https://imdb.com/title/tt0070047,7
226,Rush,8.1,123,https://imdb.com/title/tt1979320,7
227,Jai Bhim,8.7,164,https://imdb.com/title/tt15097216,1
228,Network,8.1,121,https://imdb.com/title/tt0074958,7
229,Stand by Me,8.1,89,https://imdb.com/title/tt0092005,7
230,The Wizard of Oz,8.1,102,https://imdb.com/title/tt0032138,2
231,The Incredibles,8.0,115,https://imdb.com/title/tt0317705,4
232,Hachi: A Dog's Tale,8.1,93,https://imdb.com/title/tt1028532,2
233,The Handmaiden,8.1,145,https://imdb.com/title/tt4016934,8
234,Into the Wild,8.1,148,https://imdb.com/title/tt0758758,7
235,My Father and My Son,8.2,112,https://imdb.com/title/tt0476735,8
236,The Sound of Music,8.1,172,https://imdb.com/title/tt0059742,2
237,The Battle of Algiers,8.1,121,https://imdb.com/title/tt0058946,8
238,To Be or Not to Be,8.1,99,https://imdb.com/title/tt0035446,1
239,The Grapes of Wrath,8.1,129,https://imdb.com/title/tt0032551,1
240,Groundhog Day,8.0,101,https://imdb.com/title/tt0107048,4
241,Amores Perros,8.1,154,https://imdb.com/title/tt0245712,7
242,The Iron Giant,8.1,86,https://imdb.com/title/tt0129167,4
243,Rebecca,8.1,130,https://imdb.com/title/tt0032976,1
244,Cool Hand Luke,8.1,127,https://imdb.com/title/tt0061512,1
245,The Help,8.1,146,https://imdb.com/title/tt1454029,5
246,It Happened One Night,8.1,105,https://imdb.com/title/tt0025316,1
247,Aladdin,8.0,90,https://imdb.com/title/tt0103639,2
248,Dances with Wolves,8.0,181,https://imdb.com/title/tt0099348,5
249,Drishyam,8.2,163,https://imdb.com/title/tt4430212,8
250,"Paris, Texas",8.1,145,https://imdb.com/title/tt0087884,7
